,title,genre_ids
6966,alltheoldknives,"53,28"
4012,allthepresidentsme,"18,36,9648,53"
5901,alltheprettyhorses,"18,10749,37"
6084,alltherightmoves,"10749,18"
4785,allthingsfair,"18,10749,10752"
5464,allthreeofus,"18,35"
5123,alltimehigh,"35,10749"
2608,alltogether,"35,18"
7901,alltogethernow,18
7157,alltoowelltheshort,"18,10402"
1121,allweimagineasligh,18
9456,allyouneediscrime,35
2121,allyourfaces,18
8443,almostadults,"35,18,10749"
2567,almostfamous,"18,10402"
9064,almostordinarysumm,35
7438,alone,"53,27"
7498,aloners,18
669,alonewiththemoonth,"10402,99"
2067,alongcamepolly,"35,10749"
6468,alongfortheride,"10749,18"
5712,alongwiththegodsth,"28,12,14,53"
601,alpentodeinberglan,80
8849,alpha,"12,18"
5686,alphadog,"80,18,53"
7705,alpinist,99
8315,alteredcarbonresle,"16,878"
5735,altitude,"27,9648,53"
96,altoknights,"18,80"
3083,alvinandthechipmun,"35,10751,14"
7584,alwaysbemymaybe,"10749,35"
562,alwayshavealwayswi,18
298,alwaystrouble,18
5012,amadeus,"36,10402,18"
9713,amanda,18
10271,amandaland,35
8,amaran,"28,18,12,10752"
6124,amarcord,"35,18"
9887,amazinggrace,"10402,99"
6426,amazingmaurice,"16,12,35,10751,14"
10201,amazingrace,10764
1729,amazingspiderman,"28,12,878"
4146,amazingspiderman2,"28,12,878"
10243,amazingworldofgumb,"16,10751,10765,35"
4267,amberalert,"53,18"
2950,ambulance,"53,28,80,18"
6303,ambush,"10752,28,53"
4870,ameliaschildren,"27,9648"
826,amelie,"35,10749"
2748,amen,"18,36"
7068,americalatina,53
1402,american,"80,18,53"
9698,americananimals,"18,80,99"
6962,americanassassin,"28,12,53"
1148,americanbackyard,"27,9648"
682,americanbeauty,18
6399,americancarnage,"9648,53,35,27"
10100,americandad,"16,35"
9102,americanfactory,99
1762,americanfiction,"35,18"
1078,americangangster,"18,80"
9448,americanhangman,53
1033,americanhistoryx,18
8237,americanhoney,18
1179,americanhustle,"18,80"
10098,americanidol,10764
5985,americaninparis,"10402,10749,35"
4583,americaninrome,35
2246,americanmade,"35,80,18"
2858,americanmary,"27,53"
4460,americanmurderthef,99
3520,americanninja,28
8126,americanpickle,"35,18"
1133,americanpie,"35,10749"
1261,americanpie2,"35,10749"
2987,americanpiepresent,35
443,americanpsycho,"53,18,80"
1282,americanreunion,35
7160,americansicario,"80,28"
7080,americansiege,"28,12,53"
773,americansniper,"10752,28"
4730,americansocietyofm,"14,35"
8577,americanson,"18,10770"
614,americansons,99
574,americansweatshop,"53,9648"
3998,americantail,"16,35,12,18,10751"
3015,americanunderdog,"18,10751"
2171,americanwedding,"35,10749"
9899,americanwoman,18
10126,americasays,"10751,10764"
10146,americasfunniestho,"35,10767,10764"
10348,americasgottalent,10764
3823,americassweetheart,"35,10749"
7519,americathemotionpi,"16,28,35"
10253,amibeingunreasonab,"35,18"
3354,amicicomeprima,35
7047,amina,"10752,36,18"
4335,amiok,"35,10749,18"
3398,amityvillehorror,27
9745,amityvillemurders,27
5264,amityvilletheawake,"27,53"
7923,ammonite,"10749,18"
2514,amongfriends,35
7652,amorbandido,"53,10749,18"
8032,amoresperros,"18,53"
5555,amour,"18,10749"
2924,amsterdam,"9648,35,18"
3243,amulet,27
7573,amundsen,"18,36,12"
3144,anaconda,"12,27,53"
7028,anacondasthehuntfo,"28,12,27"
9543,anaevitoria,"10749,35,10402"
7357,anaisinlove,"18,10749,35"
2499,analyzethis,"35,80"
1122,anastasia,"16,10751,14,12"
370,anatema,27
1177,anatomyofafall,"53,9648,80"
5478,anatomyofaloveseen,"10749,18"
2902,anatomyofamurder,"80,18,9648"
2808,anchorman2thelegen,35
4434,anchormanthelegend,35
10299,ancientaliens,"99,9648,10765"
9696,andbreathenormally,18
10048,andersoncooper360d,"10763,10767"
10452,andersoncooperfull,
9526,andhadhun,"80,9648,53,35"
3983,andnowforsomething,35
6078,andre,"18,10751,12"
2538,andsoitgoes,"35,18,10749"
5743,andsoonthedarkness,"9648,53"
114,andthenhowhetoldth,18
3278,andthenwedanced,"18,10749"
8291,anelkamisunderstoo,99
9757,angel,"28,18,36,53,10752"
8040,angelaschristmaswi,"16,10751"
9704,angelface,18
7167,angelfallschristma,"10770,35,10749"
6739,angelhasfallen,"28,53"
5040,angelheart,"27,9648"
2064,angelique,"12,10749"
5725,angelofevil,"80,18"
8773,angelofmine,"18,53,9648"
1113,angelsdemons,"53,9648"
5077,angelsegg,"16,14,9648"
2331,angelsshare,"18,35"
3659,angermanagement,35
66,angler,
6450,angryannie,18
4841,angrybirdsmovie,"16,12,35,10751"
6382,angrybirdsmovie2,"16,28,14,12,35,10751"
8795,aniara,"878,18"
8994,anima,10402
4908,animal,"28,80,18"
10210,animalcontrol,35
2740,animalfactory,"80,18"
2029,animalkingdom,"12,18,878"
9595,animalworld,"18,28,12,53"
10214,animaniacs,"16,10762,35,10751"
9718,animas,"53,18,27"
3383,animatrix,"16,878"
78,anjila,18
2324,anna,"28,12,53"
9775,annaandtheapocalyp,"27,35,14"
3104,annabellecomeshome,27
2225,annabellecreation,27
4486,annakarenina,"18,10749,36"
7602,annette,"18,10749"
466,annie,"35,18,10751"
3210,anniehall,"35,18,10749"
4303,annihilation,"878,27"
8461,anomalisa,"16,18,10749,35"
9296,anon,"878,80,9648,53"
7156,anonymouslyyours,"18,10749"
2,anora,"18,35,10749"
4047,anothercountry,"18,10749"
9881,anotherdayoflife,"16,99,36"
1329,anotherround,"35,18"
1119,anothersimplefavor,"35,80,53"
7100,anotherworld,18
961,anotheryou,"35,10749"
7737,antebellum,27
8858,anthonyjeselniktho,35
3498,anthropoid,"36,53,10752"
4538,antichrist,"18,27,53"
2511,antigang,"28,18"
3485,antiporno,"18,9648"
10219,antiquesroadshow,"99,10751"
10069,antiquesroadtrip,99
2423,antitrust,"28,80,18"
7122,antlers,"18,27,9648"
1743,antman,"878,28,12"
4357,antmanandthewasp,"28,12,878"
2235,antmanandthewaspqu,"28,12,878"
7793,antrum,27
2789,antsinthepants2,35
1012,antz,"10751,16,12,35"
2683,anygivensunday,18
995,anyonebutyou,"10749,35"
7029,anythingelse,"18,35,10749"
2575,anythingforalice,35
8053,anythingforjackson,27
